id,category,hook_type,post,cta,status,notes
1,副業・収益化,言い切り,"「副業で月5万」が目標の人、
全員同じミスしてる。

ノウハウを集めすぎ。

「あと1記事読んだら始めよう」
「あのツール試してから…」

これ、永遠に始まらないやつ。

稼いでる人は例外なく
情報3割で動いてる。

残り7割は走りながら覚えた。

完璧に準備してから始めた人、
見たことある？

俺はない。

今日1個だけでいいから
手を動かしてみて。

「調べる」じゃなくて「やる」。
これだけで上位10%に入れる。",いいねで自分に約束しよう,draft,広い市場×言い切り×行動喚起
2,時間術,逆張り,"「忙しくて時間がない」

って言う人ほど
スマホのスクリーンタイム
5時間超えてる説。

厳しいこと言うけど、
時間がないんじゃなくて
優先順位がバグってるだけ。

1日1時間を副業に回すだけで
年間365時間。

これ、フルタイム2ヶ月分。

「時間ない」は言い訳じゃなくて
思い込み。

スクリーンタイム見てから
もう一回言ってみて。",スクリーンタイム何時間だった？リプで教えて,draft,賛否両論テーマ×データ×リプ誘導
3,個人開発,共感→気づき,"個人開発で一番キツいのは
コードを書くことじゃない。

「誰にも使われない」こと。

3ヶ月かけて作ったサービス、
ローンチして反応ゼロ。

これ、マジで心折れる。
経験者ならわかるはず。

でも原因はほぼ1つ。

作る前に「誰が使うか」を
1人も特定してなかった。

たった1人でいい。
「この人の、この悩みを解決する」

これ決めてから作ると
全部変わる。",経験ある人🙋‍♂️,draft,広い共感×個人開発者向け×議論誘発
4,SaaS収益化,ストーリー型,"月収0→10万を
個人SaaSで達成した時、

一番効いたのは
機能追加でもUI改善でもなかった。

「既存ユーザー5人にDMして
困ってること聞いた」

これだけ。

そこで出た悩みを
そのまま機能にしたら
解約率が半分になった。

新規より既存。
想像より直接聞く。

ユーザーの声は
最強のロードマップ。",実践してる人いたらリプで共有してほしい,draft,ストーリー×SaaS×フォロワーリサーチ戦略の実践例
5,X運用,メタ・ノウハウ,"Xで伸びない人の投稿、
9割が同じ病気にかかってる。

「丁寧すぎ病」

「〜かもしれません」
「一概には言えませんが」
「個人の感想です」

配慮してるつもりだろうけど、
読んだ人の感情は1ミリも動かない。

バズってる投稿を見てみ。
全部言い切ってる。

言い切ると怖い？

大丈夫。
「考え方」に対して言い切れば
炎上しない。

人を否定するな。
常識を否定しろ。",次のポストで試してみて,draft,Tips②③の実践解説×広い市場（X運用者全般）
6,マインドセット,対立構造,"「まずは副業から始めるべき」
vs
「稼ぎたいなら脱サラしろ」

正直、どっちも正解。

でも俺は副業派。

理由はシンプルで、
脱サラして月収ゼロの
プレッシャーの中で
冷静な判断ができる人間は
ほぼいないから。

焦りは判断力を殺す。

本業の安定収入がある状態で
月5万→10万→30万と
積み上げていく方が
圧倒的に再現性が高い。

「いつでも辞められる状態」を
作ってから辞める。

これが最強。",あなたはどっち派？,draft,対立構造×考え方をぶつける×リプ誘導
7,生産性,データ型,"衝撃のデータ。

人間が1日に「集中」できる時間、
たった4時間。

つまり8時間働いても
本当に生産的なのは半分以下。

これ知ってから
朝の4時間を「攻め」の時間にした。

コード書く、記事書く、
重要な意思決定する。

午後は「守り」。
メール返信、MTG、雑務。

これだけで
アウトプット量が倍になった。

残業してる場合じゃない。
集中の4時間を守れ。",試してみた人いたら結果教えて,draft,広い市場（全社会人）×データ×実践可能
8,フリーランス,問題提起,"フリーランスの9割が
「技術力」で差別化しようとして
失敗してる。

厳しい現実だけど、
技術力で差がつく時代は終わった。

ChatGPTもClaudeもある今、
コードの品質は平準化してる。

じゃあ何で差がつくか？

「この人に頼みたい」
と思わせる発信力。

技術ブログじゃなくて
「自分の考え」を発信してる人が
案件を取ってる。

スキルは前提。
選ばれる理由は「人」。",心当たりある人はいいね,draft,逆張り×広い市場（フリーランス全般）×AI時代の文脈
9,継続のコツ,共感型,"「毎日投稿しよう」

と決めて3日で止まった人、
俺以外にもいるはず。

毎日投稿が続かない理由、
意志が弱いんじゃなくて
ハードル設定がバグってるだけ。

「渾身の1投稿」を毎日？
そりゃ無理。

最初は「1行でもOK」にする。

「今日も副業やった」
これでいい。

ゼロと1の差は
1と100の差より大きい。

完璧より継続。
これガチ。",3日坊主仲間いたらリプで🙋‍♂️,draft,広い共感×継続テーマ×ハードル下げ
10,AI・テクノロジー,トレンド型,"2026年、
AIを「使う側」と「知らない側」で
収入格差がエグいことになってる。

これ、煽りじゃなくて事実。

プログラミング → AIで3倍速
ライティング → AIで下書き自動化
リサーチ → AIで1時間→10分

同じ24時間を使って
アウトプット量に3倍差がつく。

「AIに仕事奪われる」
じゃなくて
「AIを使う人に仕事奪われる」

まだ使いこなせてない人、
今がラストチャンス。
来年にはもう当たり前になってる。",使ってるAIツールをリプで共有しよう,draft,広い市場×トレンド×緊急性×リプ誘導
11,お金・節約,言い切り,"「貯金ができない」って人、
収入が少ないんじゃなくて
支出を把握してないだけ。

先月いくら使ったか
1円単位で言える？

言えないなら、
そりゃ貯まらない。

稼ぐ力を上げる前に
まず「漏れ」を止めろ。

家計簿アプリ入れて
1週間だけ全記録してみ。

自分の金の使い方に
ドン引きするから。

それが第一歩。",家計簿つけてる？リプで教えて,draft,広い市場（全社会人）×言い切り×実践可能
12,お金・投資,逆張り,"「投資は早く始めた方がいい」

これ、半分ウソ。

借金があるのにNISA始めたり、
生活防衛資金ゼロで株買ったり、

順番がバグってる人多すぎ。

正しい順番はこれ。

①生活費3ヶ月分の貯金
②借金・ローン返済
③余剰資金で投資開始

投資は「余裕のある人の遊び」
じゃなくて
「余裕を作ってからやるもの」。

焦って始めると
暴落で狼狽売りして終了。

順番守るだけで
結果が全然違う。",①②③どこまでできてる？,draft,広い市場×逆張り×対立構造（早い派vs順番派）
13,お金・節約,データ型,"年収が同じなのに
片方は貯金500万、
片方は貯金ゼロ。

この差、
たった3つの習慣で説明がつく。

①コンビニに行かない
②サブスク年1で棚卸し
③「買う前に24時間待つ」ルール

地味？

でも①だけで月1〜2万浮く。
年間12〜24万。

10年で120〜240万。

派手な節約術なんていらない。
地味な仕組みを淡々と回すだけ。

お金持ちは「我慢強い」んじゃなくて
「仕組みが強い」。",やってる節約術あったらリプで共有して,draft,データ×具体的×広い市場
14,お金・収入UP,問題提起,"「給料が上がらない」

って嘆く人に聞きたい。

給料以外の収入源、
いくつある？

ゼロだったら
上がらなくて当たり前。

会社は「あなたの頑張り」じゃなく
「ポジションの相場」で給料を決めてる。

だから頑張っても上がらない。

本業 + 副業の2本柱にした瞬間、
心の余裕がバグるほど変わる。

月3万の副業収入があるだけで
「最悪辞めてもいいか」と思える。

この余裕が
本業のパフォーマンスまで上げる。

不思議だけど、事実。",副業やってる人＋やってない人いいねで分かれてみて,draft,広い市場×問題提起×行動喚起
15,転職・キャリア,言い切り,"転職で年収上がらない人、
9割がこれやってない。

「市場価値の把握」

自分の年収が
業界相場より高いのか低いのか、
知らずに交渉する人が多すぎる。

相場より低いなら
転職するだけで上がる。

相場通りなら
スキルを足して相場を変える。

相場より高いなら
今の会社にいるのが正解。

感覚じゃなくてデータで判断しろ。

転職サイト3つ登録して
スカウト年収の中央値を見る。

これが今のあなたの値段。",自分の市場価値知ってる人🙋‍♂️,draft,広い市場（転職検討者）×言い切り×実践可能
16,転職・キャリア,対立構造,"「石の上にも三年」
vs
「合わないなら即辞めろ」

どっちが正解か。

答え: どっちも間違い。

正解は
「辞める理由」の質で決まる。

「なんとなくつまらない」→ 残れ。
どこ行っても同じだから。

「明確にやりたいことがある」→ 辞めろ。
時間は有限だから。

「上司がムカつく」→ 異動を打診しろ。
環境は変えられるから。

辞めるか残るかじゃなくて
「何のために」で判断する。

感情で辞めると
次も感情で辞めることになる。",あなたの転職理由はどれだった？,draft,対立構造×考え方をぶつける×広い市場
17,転職・キャリア,ストーリー型,"20代で3回転職した。

1回目: 逃げ。人間関係が嫌だった。
2回目: 焦り。周りが転職してたから。
3回目: 戦略。明確にスキルを取りに行った。

結果、年収は
1回目: 変わらず
2回目: 下がった
3回目: 1.5倍

3回やってわかったこと。

転職は「逃げ」でも「焦り」でもなく
「取りに行く」時だけ成功する。

何を取りに行くか言えないなら
まだ動くな。",転職で成功した人も失敗した人もリプで聞かせて,draft,ストーリー×実体験風×広い共感
18,転職・キャリア,逆張り,"「やりたいことを仕事にしろ」

この言葉、
真に受けると危険。

やりたいことを仕事にして
潰れた人を何人も見てきた。

好きなことを
他人の要望に合わせて
締切付きでやり続けると
だいたい嫌いになる。

おすすめは逆。

「苦じゃないこと」を仕事にして
「好きなこと」は趣味で守る。

苦じゃない × 需要がある
＝最強のキャリア。

好きを仕事に？
好きを守れ、が正解。",好きを仕事にして後悔した人いる？,draft,逆張り×広い市場×保護的メッセージ
19,習慣・朝活,言い切り,"朝5時起きを1年続けた結論。

人生変わった。
でも目覚ましで変わったんじゃない。

「夜やってたことを朝に移した」
これだけ。

夜のダラダラSNS1時間
→ 朝の集中作業1時間

同じ1時間なのに
生産性が3倍違う。

夜の脳は疲弊してて
判断力がゴミだから。

早起きの本質は
「自分のゴールデンタイムを
SNSじゃなくて自分に使う」こと。

5時じゃなくていい。
今より30分早く起きるだけで十分。",何時起き？リプで教えて,draft,広い市場×実践可能×ハードル下げ
20,習慣・ルーティン,データ型,"「習慣化には21日かかる」

これ、実はウソ。

ロンドン大学の研究だと
平均66日。

つまり約2ヶ月。

3週間で「もう習慣になったはず」
と思って油断する人が多すぎる。

で、4週目にサボって
「やっぱ自分はダメだ」と落ち込む。

違う。まだ途中なだけ。

本当のコツは
「66日間、完璧じゃなくていいから
途切れさせない」こと。

1日サボっても翌日やれば
習慣化の進行はリセットされない。

休んでもいい。
やめなければ勝ち。",今チャレンジ中の習慣をリプで宣言しよう,draft,データ×逆張り（21日説否定）×広い市場
21,習慣・モチベ,共感型,"モチベーションに頼って
行動してる人、全員聞いて。

モチベは来ない日がある。
っていうか、来ない日の方が多い。

「やる気が出たらやろう」
は一生やらないのと同じ。

毎日歯を磨くのに
モチベいる？

いらないでしょ。

習慣ってそういうこと。

やる気ゼロでも手が動く仕組みを作れ。

PCの前に座る → 開く → 5分だけやる

この「5分だけ」が
気づいたら30分になってる。

モチベに頼るな。
仕組みに頼れ。",5分ルール実践してる人いる？,draft,広い共感×実践可能×言い切り
22,AI活用,実践型,"ChatGPTに
「〇〇を教えて」って聞いてる人、

それ、AIの力の10%しか使えてない。

本当に使えるプロンプトは
「教えて」じゃなくて
「壁打ちして」。

例えば、

❌「副業のアイデア教えて」
⭕「自分のスキルは〇〇で、
　使える時間は週5時間。
　3つ提案して、それぞれの
　リスクとリターンを比較して」

AIは「質問の質」で
回答の質が100倍変わる。

具体的な条件を渡して
思考パートナーとして使え。

これだけでAI活用が別次元になる。",使ってるプロンプト術あったらリプで共有して,draft,AI活用×広い市場×実践可能×具体例
23,AI活用,逆張り,"「AIが仕事を奪う」って
ビビってる人に伝えたい。

奪われるのは「仕事」じゃなくて
「作業」。

考える仕事は奪われない。
判断する仕事も奪われない。

奪われるのは
「言われたことをそのままやる」
タイプの作業だけ。

むしろAIのおかげで
「考える仕事」の価値が
爆上がりしてる。

つまりAI時代に最強なのは
「自分の頭で考えられる人」。

これ、昔から変わってない。

AIを怖がるな。
思考停止を怖がれ。",AI時代に身につけたいスキルは？,draft,逆張り×安心感×広い市場（AI不安層）
24,AI活用,具体型,"個人開発者がAIで
開発速度3倍にする方法。

実際にやってること全部書く。

①設計フェーズ
→ AIに要件を説明して
　壁打ちしながらDB設計

②実装フェーズ
→ 1機能ずつAIにコード生成させて
　自分でレビュー＆修正

③テスト
→ テストコードをAIに書かせる
　人間は境界値だけ確認

④ドキュメント
→ コードからREADME自動生成

ポイントは
「全部任せる」じゃなくて
「パーツごとに使い分ける」こと。

AI＝部下だと思え。
丸投げしたら事故る。",実践してる開発×AI術あったら教えて,draft,個人開発×AI×具体的手順
25,AI活用,対立構造,"「AIを使うのはズルい」
vs
「AIを使わないのは怠慢」

この議論、もう決着ついてる。

電卓が出た時も
「暗算できない人間はダメだ」
って言われてた。

Excelが出た時も
「手計算こそ本物」
って言われてた。

全部同じ。

道具を使いこなす人が勝つ。
これは人類の歴史が証明してる。

AIを使わないのは
「俺は電卓使わない」って
言ってるのと同じ。

カッコいいか？

ダサいでしょ。",あなたはどっち派？リプで聞かせて,draft,対立構造×歴史的視点×言い切り
26,AI活用,トレンド型,"2026年、
AIツール使ってない個人開発者は
ガチで絶滅危惧種。

周り見てみ。

Claude Code → コーディング支援
v0 → UI生成
Cursor → AI搭載エディタ
Midjourney → デザイン生成

1人で会社1個分の仕事ができる時代。

「人手が足りない」は
もう言い訳にならない。

「AIの使い方を知らない」が
正直な理由。

今すぐ1つでいいから
ワークフローに組み込んでみ。

1週間後には
「なんで今まで使ってなかったんだ」
ってなる。",最近導入してよかったAIツールは？,draft,トレンド×具体ツール名×緊急性
27,学習法,逆張り,"「インプットが大事」

これ信じて
本を月10冊読んでるのに
何も変わらない人、多くない？

インプットは大事。
でもそれ、アウトプットしないと
ただの自己満。

読んだ本の内容、
1週間後に何%覚えてる？

研究によると、
読むだけ → 10%
人に教える → 90%

つまり最強の学習法は
「学んだことをXで発信する」こと。

読書 → 3行でまとめて投稿

これだけで記憶定着率が9倍。

しかもフォロワーも増える。

一石二鳥すぎるだろ。",最近読んだ本を3行でリプに書いてみて,draft,データ×逆張り×X運用との接続
28,学習法,問題提起,"「勉強の仕方がわからない」

って言う社会人、
めちゃくちゃ多い。

学校では「何を学ぶか」は
教えてくれたけど
「どう学ぶか」は教わってない。

結論から言うと、
社会人の学習は
「課題ドリブン」一択。

今困ってること → 調べる → 試す → 解決

このサイクルだけ回せばいい。

「いつか使うかも」で学ぶな。
「今すぐ必要」だけ学べ。

これだけで学習効率10倍。

体系的に学ぶのは
基礎が固まってからでいい。",社会人になってから学び直したことある？,draft,広い市場（全社会人）×言い切り×実践可能
29,学習法,共感型,"英語、プログラミング、簿記、
資格勉強…

「今年こそは」って
毎年1月に決意して
3月に忘れてる人。

俺です。

で、やっと気づいたこと。

「やる気がある時に始める」
のが間違いだった。

正解は
「やらざるを得ない状況を作る」。

例えば、
・先に試験に申し込む
・SNSで宣言する
・お金を払って講座に入る

退路を断つと人は動く。

意志力に頼るのは
最もコスパの悪い戦略。

環境を変えろ。
自分を変えようとするな。",今年の「今年こそは」何？リプで宣言しよう,draft,広い共感×自虐→気づき×行動喚起
30,人間関係,言い切り,"「コミュ力が高い人」の正体、
知ってる？

話がうまい人じゃない。

「聞くのがうまい人」。

話したい人は世の中に溢れてる。
でも聞いてくれる人は圧倒的に少ない。

だから「ちゃんと聞く人」は
それだけで信頼される。

具体的には3つだけ。

①相手の話を最後まで聞く
②「それでどうなったの？」と深掘る
③自分の話にすり替えない

特に③。

「わかる〜、俺もさ〜」
これやった瞬間、信頼ゲージ急降下。

話すな。聞け。
それだけでモテるし稼げる。",③やりがちな人正直にいいね,draft,広い市場×言い切り×具体的3ステップ
31,人間関係,対立構造,"「人脈は広い方がいい」
vs
「深い関係を少数と」

答え出てます。

ダンバー数って知ってる？

人間が維持できる関係は
約150人が限界。

その中で「親密な関係」は
たった5人。

1000人と名刺交換するより
5人と深く付き合え。

困った時に助けてくれるのは
交流会で会った人じゃなくて
毎週連絡取ってる5人。

人脈自慢する暇があったら
大事な5人にLINE送れ。

広さより深さ。
これガチ。",あなたの大事な5人は誰？,draft,対立構造×データ（ダンバー数）×言い切り
32,人間関係,問題提起,"仕事ができる人が
必ずやってること。

「頼む力」。

全部自分でやろうとする人、
責任感が強いんじゃなくて
ただの自己満。

1人でやれる量には限界がある。

任せる → 空いた時間で
自分にしかできないことをやる。

これができるかどうかで
成果が10倍変わる。

「頼むの申し訳ない」
って思ってる人。

相手は意外と
頼られると嬉しいもんだよ。

抱え込むな。
巻き込め。",頼むの苦手な人いいね,draft,広い市場×問題提起×マインドシフト
33,失敗談,ストーリー型,"個人開発で月10万を目指して
最初に作ったサービス。

3ヶ月かけて、睡眠削って、
「これは絶対来る」と確信してローンチ。

初月の売上: 0円。

ゼロ。

原因は単純だった。

「自分が欲しいもの」を作っただけで
「他人が金を払うもの」を作ってなかった。

ここから学んだこと。

作る前にLPだけ先に作って
反応を見ろ。

申し込みが来てから作れ。

「作ってから売る」は博打。
「売れてから作る」が戦略。",同じ経験ある人いたらリプで教えて,draft,ストーリー×失敗談×個人開発×教訓
34,失敗談,共感→教訓,"「最初の1円」を稼ぐまでに
かかった時間。

8ヶ月。

ブログ書いて、SNS発信して、
noteも出して。

8ヶ月で1円。

「向いてないのかも」
と何度も思った。

でも今思うと、
この8ヶ月は「無駄」じゃなくて
「助走」だった。

最初の1円が来てから
10万になるまでは3ヶ月だった。

つまり「ゼロ→1」が一番重い。
「1→100」は意外と軽い。

今ゼロで苦しんでる人。

あなたは助走中なだけ。
滑走路の終わりは近い。",最初の1円エピソード聞かせて,draft,共感×ストーリー×希望×広い市場
35,失敗談,逆張り,"成功者の話って
正直あんまり参考にならない。

だって再現性がないから。

「朝4時に起きてランニングして
　瞑想して日記書いて…」

それができる人は
もう成功してる側の人間。

参考にすべきは
「失敗から這い上がった話」。

何をやって失敗したか。
なぜ失敗したか。
どう軌道修正したか。

成功パターンは千差万別だけど
失敗パターンは驚くほど共通してる。

成功者の真似をするな。
失敗者の轍を避けろ。

これの方が100倍再現性高い。",最大の失敗から学んだこと教えて,draft,逆張り×言い切り×広い市場
36,SaaS深掘り,実践型,"個人SaaSの価格設定、
9割の人が安くしすぎてる。

「月500円なら誰でも払うでしょ」

この発想が一番危険。

月500円 × 100人 = 月5万。

100人集めて月5万。
サポートコスト考えたら赤字。

月3,000円 × 30人 = 月9万。

30人なら手が届くし
サポートも丁寧にできる。

安い＝売れるは幻想。

安いと「このサービス大丈夫？」
と逆に不安にさせる。

適正価格は
「この問題が解決するなら
いくら払う？」で決めろ。

自分の感覚で決めるな。
顧客の悩みの深さで決めろ。",自分のサービスの価格悩んでる人いる？,draft,SaaS×具体数字×言い切り×逆張り
37,SaaS深掘り,データ型,"SaaSの解約率（チャーン）、
月5%と月2%で
1年後どれだけ差がつくか。

月5%: 100人 → 54人（46人消滅）
月2%: 100人 → 79人（21人残留UP）

たった3%の差で
年間25人分の差。

新規100人集めるより
解約を3%下げる方が
圧倒的にコスパがいい。

解約率を下げる最強の方法？

オンボーディングを手厚くすること。

最初の7日間で価値を実感させれば
人は離れない。

新規獲得に目がいきがちだけど
バケツの穴を塞ぐのが先。",チャーン対策で効果あったことある？,draft,SaaS×データ×具体的×経営目線
38,SaaS深掘り,問題提起,"個人SaaSで失敗する人の
共通パターンがある。

「機能を増やしすぎる」。

ユーザーから要望が来る。
嬉しくて全部実装する。

気づいたら
何でもできるけど
何が強みかわからないツールの完成。

これ、死亡フラグ。

SaaSの鉄則は
「1つの課題を、誰よりも深く解決する」。

機能10個の平凡なツールより
機能1個の最強ツール。

要望の9割は「No」でいい。

残り1割の「これは核心だ」だけ拾え。

引き算ができるプロダクトが勝つ。",機能追加しすぎて後悔したことある人🙋‍♂️,draft,SaaS×問題提起×言い切り×プロダクト論
39,X運用,実践型,"Xのアルゴリズム、
2026年で一番重要な数字教える。

「6時間」。

投稿してから6時間で
可視性スコアが半分になる。

つまり投稿直後の2〜3時間が全て。

この時間にやるべきこと:

①来たリプに即返信（スコア爆増）
②自分から他のポストにリプしに行く
③引用RTでさらに露出を増やす

投稿して放置？
それ、半分捨ててるのと同じ。

投稿は「公開」がゴールじゃない。
「公開後2時間の行動」がゴール。

ポスト作成50%
ポスト後のアクション50%

この比率を覚えとけ。",投稿後のルーティンある人教えて,draft,X運用×アルゴリズム×具体アクション×データ
40,X運用,メタ型,"フォロワー1万人いるのに
全然稼げてない人、結構いる。

一方で、
フォロワー500人で
月30万売り上げてる人もいる。

この差は「フォロワーの質」。

「なんとなくフォローした1万人」
vs
「この人の発信が好きでフォローした500人」

後者の方が圧倒的に強い。

2026年のXアルゴリズムも
フォロワー数よりエンゲージメント品質を
重視するようになってる。

数を追うな。
「この人のポストは毎回読む」
と思われる発信をしろ。

100人の熱狂的ファンは
1万人のフォロワーに勝つ。",フォロワー数と売上は比例する？しない？,draft,X運用×逆張り×アルゴリズム連動×議論誘発
41,X運用2026,実践型,"2026年のX、
ハッシュタグ戦略が完全に変わった。

結論: つけるな。

正確に言うと、
3個以上つけた瞬間
エンゲージメントが下がる。

2025年まで: 「関連タグ全部つけろ」
2026年: 「1〜2個、もしくはゼロ」

なぜか？

Grok AIが投稿の中身を読んで
自動で適切な層に届けてくれるから。

ハッシュタグで無理やり
リーチを広げる必要がなくなった。

むしろタグだらけの投稿は
「宣伝くさい」と判定されて
スコアが下がる。

タグに頼るな。
中身で勝負しろ。",まだハッシュタグ5個つけてた人🙋‍♂️,draft,X運用2026×アルゴリズム×逆張り
42,X運用2026,データ型,"2026年のXアルゴリズム、
最強のアクションは「RT」。

スコア倍率がエグい。

RT: 20倍
引用ポスト: 15倍
リプ: 普通

つまり「RTしたくなる投稿」を
設計できるかどうかが全て。

RTされる投稿の共通点:

①「あとで読み返したい」情報量
②「これ俺のフォロワーにも見せたい」共感
③「これ言いたかった」代弁

この3つのどれかを満たせ。

「いい投稿」と「RTされる投稿」は
実は全然違う。

いい投稿 = いいね
RTされる投稿 = 保存&拡散

設計しろ。感覚で書くな。",自分の直近のポストでRT多かったやつ教えて,draft,X運用2026×アルゴリズムデータ×実践型
43,X運用2026,言い切り,"Xで動画がまだ伸びてない人、
2026年最大のチャンスを逃してる。

動画コンテンツ、前年比29%成長。
しかもまだやってる人が少ない。

テキスト投稿 → 激戦区
動画投稿 → ブルーオーシャン

60秒以内でOK。
スマホで撮ってそのままでOK。

顔出し不要。
画面収録 + 音声だけでも十分。

「自分、文章の方が得意なんで」

わかる。俺もそう。

でも得意なことだけやってたら
伸びるものも伸びない。

苦手な1本が
テキスト100本分の破壊力を持つ。

まず1本だけ試してみ。",動画投稿やってる？やってない？,draft,X運用2026×動画トレンド×ブルーオーシャン
44,X運用2026,実践型,"Xのスレッド投稿、
2026年で最強のコンテンツ形式。

理由はシンプルで、
「クリックして読み進める」という
ユーザーアクションが
アルゴリズムに超高評価される。

しかもスレッドは
1投稿目がフックになるから
タイムラインで目を止めやすい。

勝てるスレッドの構成:

1投稿目: 結論 or 衝撃の事実
2〜4投稿目: 具体例・根拠
最終投稿: まとめ + CTA

やりがちなミス:

1投稿目を「前置き」にすること。

「今日はXXについて語ります」

これ、誰も2投稿目まで読まない。

1投稿目で心を掴め。
そこが全ての勝負。",スレッド投稿の成功例あったら教えて,draft,X運用2026×スレッド×アルゴリズム×具体構成
45,X運用2026,メタ型,"2026年のX、
「投稿する時間」より
「投稿後の行動」が大事になった。

Grok AIの時間減衰:
6時間でスコア半減。

つまり投稿後2〜3時間が勝負。

やるべきこと:

①リプに秒で返す（スコア加速）
②同じジャンルの人のポストにリプ
③自分のポストを引用RTで補足

やっちゃダメなこと:

投稿して寝る。

これ、最悪。
朝起きた頃にはスコアゼロ。

つまり「投稿時間」は
「自分が2時間アクティブでいられる時間」
で選ぶのが正解。

ゴールデンタイムに投稿して放置
より
自分のベストタイムに投稿して全力対応。",投稿後のルーティン教えて,draft,X運用2026×時間減衰×具体アクション
